Province_Name,District_Name,Crop_Year,Season,Crop,Area,Yield
Southern,Matara,2000,Yala,Rice,102,321
North Central,Polonnaruwa,2000,Yala,Banana,176,641
Uva,Badulla,2001,Maha,Rice,83,300
North Western,Puttalam,2002,Maha,Rice,189.2,510.84
Southern,Galle,2002,Maha,Banana,213,1278
Northern,Mullaitivu,2003,Maha,Rice,52,90.17
Southern,Hambantota,2003,Maha,Banana,266,1763
Uva,Monaragala,2004,Yala,Rice,52.94,72.57
North Western,Puttalam,2004,Maha,Banana,66.42,404.12
North Central,Anuradhapura,2005,Maha,Rice,2.09,12.06
Uva,Monaragala,2005,Yala,Banana,22,582
Uva,Badulla,2006,Yala,Banana,198,976
Northern,Jaffna,2010,Yala,Rice,3.5,10
Sabaragamuwa,Ratnapura,2010,Yala,Maize,3.84,18.22
North Western,Puttalam,2010,Yala,Banana,593,3425
Eastern,Batticaloa,2000,Maha,Rice,10779,31863
Uva,Monaragala,2000,Maha,Banana,1531,12073
Sabaragamuwa,Kegalle,2001,Yala,Rice,9718,27033
Eastern,Batticaloa,2006,Yala,Rice,6854.3,18995.62
North Western,Puttalam,2006,Maha,Banana,957.57,8582
Central,Matale,2010,Yala,Rice,6791,20118
Sabaragamuwa,Ratnapura,2010,Yala,Maize,86.7,96.4
Western,Kalutara,2010,Yala,Banana,657,7968
Central,Nuwara Eliya,2002,Yala,Rice,10695.8,31600.82
Northern,Kilinochchi,2002,Maha,Banana,1524,10882
Southern,Galle,2003,Yala,Rice,10509.37,30760.7
North Central,Polonnaruwa,2003,Yala,Banana,1530,11558
Western,Kalutara,2004,Yala,Rice,10681.98,29119.66
Northern,Mullaitivu,2004,Yala,Banana,1912.1,17374.4
North Western,Kurunegala,2005,Yala,Rice,8683.38,25870.98
Northern,Mullaitivu,2005,Maha,Banana,1656.8,10251.13
Southern,Matara,2006,Maha,Rice,921.87,2539.64
North Western,Puttalam,2006,Maha,Banana,483,4150
Western,Kalutara,2010,Maha,Rice,1595.5,3788
Southern,Galle,2010,Maha,Maize,73,253
Eastern,Trincomalee,2010,Yala,Banana,360,5517
North Central,Polonnaruwa,1997,Yala,Maize,2800,4900
Western,Colombo,1997,Maha,Rice,35600,75400
Eastern,Batticaloa,1997,Maha,Maize,600,2400
Western,Gampaha,1997,Yala,Rice,18000,37300
North Western,Kurunegala,1998,Maha,Maize,3300,6700
Eastern,Ampara,1998,Maha,Rice,38300,96800
North Central,Polonnaruwa,1998,Maha,Maize,300,1600
Southern,Hambantota,1998,Maha,Rice,26600,63900
Uva,Badulla,1999,Yala,Maize,3358,9540
Northern,Mullaitivu,1999,Maha,Rice,37991,105082
Central,Kandy,1999,Maha,Maize,455,2203
North Central,Anuradhapura,1999,Maha,Rice,20258,45669
Eastern,Ampara,2000,Maha,Maize,3475,9049
Uva,Monaragala,2000,Yala,Rice,39905,117680
North Central,Anuradhapura,2000,Yala,Maize,399,2148
Eastern,Trincomalee,2000,Yala,Rice,22099,57236
Sabaragamuwa,Ratnapura,2000,Yala,Banana,769,11693
Sabaragamuwa,Kegalle,2001,Maha,Maize,2667,7129
North Central,Anuradhapura,2001,Yala,Rice,32878,95609
Sabaragamuwa,Kegalle,2001,Maha,Maize,447,2893
Eastern,Batticaloa,2001,Yala,Rice,38119,108906
Eastern,Trincomalee,2001,Yala,Banana,1582,462
North Central,Polonnaruwa,2002,Maha,Maize,3541,3431
Uva,Badulla,2002,Maha,Rice,29066,66329
Southern,Galle,2002,Yala,Maize,1288,8933
Western,Colombo,2002,Yala,Rice,10960,20462
Uva,Badulla,2002,Maha,Banana,19,1006
North Western,Puttalam,2002,Maha,Brinjal,1026,10162
Eastern,Ampara,2002,Maha,Mango,3968,26176
North Western,Puttalam,2002,Maha,Papaya,1544,201409
Uva,Monaragala,2002,Maha,Tomato,3356,16627
